source	version	filename	url	acquired_at	bytes	sha256	purpose	redistribution_mode	direct_download	status_method	http_status_checked_2026_08_04	authentication_challenge	provenance_note
NPASS	2.0	NPASSv2.0_download_naturalProducts_generalInfo.txt	https://bidd.group/NPASS/downloadFiles/NPASSv2.0_download_naturalProducts_generalInfo.txt	2026-07-15T07:23:30.065503+00:00	9379911	4ec8f066abf7cebe8b172e1b16a6248f3b6a94efb00ed587f0a9489f5ca688bf	compound identifiers and names	link_only	true	HEAD	200	none	Database-content redistribution licence not established
NPASS	2.0	NPASSv2.0_download_naturalProducts_structureInfo.txt	https://bidd.group/NPASS/downloadFiles/NPASSv2.0_download_naturalProducts_structureInfo.txt	2026-07-15T07:23:30.120782+00:00	29748831	cbe688e9b6fdd0960c78d1a93d7f487ca4a2bbad3017275515c3d90d2a0f72fa	structures	link_only	true	HEAD	200	none	Database-content redistribution licence not established
NPASS	2.0	NPASSv2.0_download_naturalProducts_activities.txt	https://bidd.group/NPASS/downloadFiles/NPASSv2.0_download_naturalProducts_activities.txt	2026-07-15T07:25:54.997718+00:00	90364982	ced9ee333e7e5e12eb07d21d52ec20af777b6c429a6438ed9b402ca8fd547507	activity records targets values and references	link_only	true	HEAD	200	none	Database-content redistribution licence not established
NPASS	2.0	NPASSv2.0_download_naturalProducts_targetInfo.txt	https://bidd.group/NPASS/downloadFiles/NPASSv2.0_download_naturalProducts_targetInfo.txt	2026-07-15T07:25:58.075727+00:00	629317	d171c261e839a95ff6fdadeba6d1eeacf1536a70eae7668d6a179f85d44d83dc	target identifiers and cross-references	link_only	true	HEAD	200	none	Database-content redistribution licence not established
NPASS	3.0	NPASS3.0_naturalproducts_generalinfo.txt	https://bidd.group/NPASS/downloadFiles/NPASS3.0_naturalproducts_generalinfo.txt	2026-07-15T07:28:46.382074+00:00	48379276	fc3fdcb41423d2d654552b638800658ad90441509bb58516c2290edcf4ae2d83	compound identifiers and names	link_only	true	HEAD	200	none	Release date recorded as 2025-06-15; database-content licence not established
NPASS	3.0	NPASS3.0_naturalproducts_structure.txt	https://bidd.group/NPASS/downloadFiles/NPASS3.0_naturalproducts_structure.txt	2026-07-15T07:30:24.794379+00:00	64734351	5f2ca5c3fcd0386d65a31146122e4c8bf6dfcbea7a786ea01e6be764d69f65dc	structures	link_only	true	HEAD	200	none	Release date recorded as 2025-06-15; database-content licence not established
NPASS	3.0	NPASS3.0_activities.txt	https://bidd.group/NPASS/downloadFiles/NPASS3.0_activities.txt	2026-07-15T07:33:07.055400+00:00	105252592	2e1e01166b6571f0e77c8e1a1a2f4ee48c17fb8af92be024b30d207e27a289c2	activity records targets values and references	link_only	true	HEAD	200	none	Release date recorded as 2025-06-15; database-content licence not established
NPASS	3.0	NPASS3.0_target.txt	https://bidd.group/NPASS/downloadFiles/NPASS3.0_target.txt	2026-07-15T07:33:10.552404+00:00	663452	e0c779601f8b0868779a888f2bfc9aafb76d7a1e527dbeec0031da7a52c88347	target identifiers and cross-references	link_only	true	HEAD	200	none	Release date recorded as 2025-06-15; database-content licence not established
ChEMBL	31	chembl_31_chemreps.txt.gz	https://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBLdb/releases/chembl_31/chembl_31_chemreps.txt.gz	2026-07-15T08:47:00.549321+00:00	224312348	74cae7cf3242b26a07ea6deea1a9547572036c25eb8946bfff3200d3e855743c	historical compound structures	link_only_pending_field_review	true	HEAD	200	none	ChEMBL 31 release date recorded as 2022-08-15
ChEMBL	31	chembl_uniprot_mapping.txt	https://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBLdb/releases/chembl_31/chembl_uniprot_mapping.txt	2026-07-15T08:47:05.782549+00:00	938764	0828844c10badd8bb09525e12ba0c320c120e38f830069301fada70224c3aa0a	target mapping	link_only_pending_field_review	true	HEAD	200	none	Observed project hash; upstream checksum was not recorded
ChEMBL	31	chembl_31_sqlite.tar.gz	https://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBLdb/releases/chembl_31/chembl_31_sqlite.tar.gz	2026-07-15T11:15:08.280342+00:00	4505413744	cbd28e4b0e955e562d975d972d262298286d36e3992292f783dce8f498b04e26	historical activity and assay extraction	link_only_pending_field_review	true	HEAD	200	none	Extracted project size recorded as 23750918685 bytes
PubMed	ESummary_accessed_2026_07_15	pubmed_esummary_service	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=1&retmode=json	2026-07-15			publication-date metadata service	api_link_only	false	GET	200	none	Small known-record status query; original project PMID sets are not redistributed
UniProt	2026_02	uniprot_rest_service	https://rest.uniprot.org/help/api_queries	2026-07-15T08:31:48.114316+00:00			mapping and sequence service	api_link_only	false	HEAD	200	none	Project headers recorded release 2026_02 dated 2026-06-10; exact accession set excluded
MMseqs2	18-8cc5c	mmseqs-win64.zip	https://github.com/soedinglab/MMseqs2/releases/download/18-8cc5c/mmseqs-win64.zip	2026-07-15T09:31:01.464378+00:00	22129914	9752087ca4e25e93b830775832a75044dc94ae348d66d4681f9ff0355eecfcbf	homology audit executable	link_only_binary_excluded	true	HEAD	200	none	Binary is not included in either candidate package
RDKit	2026.03.4	rdkit-2026.03.4-py311hb8c08e3_0.conda	https://conda.anaconda.org/conda-forge/win-64/rdkit-2026.03.4-py311hb8c08e3_0.conda	2026-07-28	17783835		locked cheminformatics dependency	package_manager_link_only	false	HEAD	200	none	Pinned by the conda explicit lock; no standalone project-recorded package hash

