artifact_group	relative_path	reference_sha256	reproduced_sha256	byte_equal	semantic_status	notes
source_to_frozen_input	data/processed/npass_v2_evidence_records_v1_1_uniprot_mapped.tsv.gz	69802f62470930405d2658cc37e99f668aeb7db7795696ff78c76563d552d582	69802f62470930405d2658cc37e99f668aeb7db7795696ff78c76563d552d582	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	data/processed/npass_v3_evidence_records_v1_1_uniprot_mapped.tsv.gz	cc80a1cfe11c4bfd007cf0a9b110026429bffc99b23abff500d2cfddeb7fadbe	cc80a1cfe11c4bfd007cf0a9b110026429bffc99b23abff500d2cfddeb7fadbe	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	data/interim/pubmed_v2_pmid_metadata.csv.gz	f94a892fd9ce106a62e6306b16a0a2f0b5482987c1610d33e6cba21e090029b0	f94a892fd9ce106a62e6306b16a0a2f0b5482987c1610d33e6cba21e090029b0	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	data/raw/npass2/NPASSv2.0_download_naturalProducts_structureInfo.txt	cbe688e9b6fdd0960c78d1a93d7f487ca4a2bbad3017275515c3d90d2a0f72fa	cbe688e9b6fdd0960c78d1a93d7f487ca4a2bbad3017275515c3d90d2a0f72fa	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/scoring_inputs/historical_pairs.tsv.gz	75a01dc27fbffd677154865f6817e51f00d8f0dacdbbe4cf8ef7dbcf31a2e959	75a01dc27fbffd677154865f6817e51f00d8f0dacdbbe4cf8ef7dbcf31a2e959	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/scoring_inputs/scoring_queries.tsv.gz	0e6068d2e25cb3ea325656fb3517563788cd496e88cfaa3de761890fec9e9318	0e6068d2e25cb3ea325656fb3517563788cd496e88cfaa3de761890fec9e9318	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/scoring_inputs/compounds.tsv.gz	80c4c654d8726202e7221d561c5f9f5a9e94b21a1b7009128b1d59cb32aa2674	80c4c654d8726202e7221d561c5f9f5a9e94b21a1b7009128b1d59cb32aa2674	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/scoring_inputs/candidate_targets.tsv.gz	0ee86746b306fb388a1f74a6b88ce4d1eba01b7a4eb473315f6b3def57145cdc	0ee86746b306fb388a1f74a6b88ce4d1eba01b7a4eb473315f6b3def57145cdc	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/scoring_inputs/candidate_sequences.fasta	a83421dba2482f236fe18340dd592cc7d5ed22c98c4fc39435c40f04f289b442	a83421dba2482f236fe18340dd592cc7d5ed22c98c4fc39435c40f04f289b442	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
source_to_frozen_input	bundle/evaluation_inputs/evaluation_pairs.tsv.gz	09296b066a23197a7c178f00514f2b3d9ed7e6f3c459ea92a55e01a6010d1132	09296b066a23197a7c178f00514f2b3d9ed7e6f3c459ea92a55e01a6010d1132	true	COMPLETED_EXACT_SHA256	Fresh official acquisition/rebuild; reference file used only for comparison.
